raw_city,raw_state,standardized_city,standardized_state,match_method
pão de açúcar,AL,Pão de Açúcar,AL,municipio
quebrangulo,AL,Quebrangulo,AL,municipio
rio largo,AL,Rio Largo,AL,municipio
roteiro,AL,Roteiro,AL,municipio
santa luzia do norte,AL,Santa Luzia do Norte,AL,municipio
santana do ipanema,AL,Santana do Ipanema,AL,municipio
santana do mundau,AL,Santana do Mundaú,AL,municipio
santana do mundaú,AL,Santana do Mundaú,AL,municipio
sao bras,AL,São Brás,AL,municipio
sao jose da laje,AL,São José da Laje,AL,municipio
sao jose da tapera,AL,São José da Tapera,AL,municipio
sao luis do quitunde,AL,São Luís do Quitunde,AL,municipio
sao miguel dos campos,AL,São Miguel dos Campos,AL,municipio
sao miguel dos milagres,AL,São Miguel dos Milagres,AL,municipio
sao sebastiao,AL,São Sebastião,AL,municipio
satuba,AL,Satuba,AL,municipio
senador rui palmeira,AL,Senador Rui Palmeira,AL,municipio
são brás,AL,São Brás,AL,municipio
são josé da laje,AL,São José da Laje,AL,municipio
são josé da tapera,AL,São José da Tapera,AL,municipio
são luís do quitunde,AL,São Luís do Quitunde,AL,municipio
são miguel dos campos,AL,São Miguel dos Campos,AL,municipio
são miguel dos milagres,AL,São Miguel dos Milagres,AL,municipio
são sebastião,AL,São Sebastião,AL,municipio
tanque d'arca,AL,Tanque d'Arca,AL,municipio
taquarana,AL,Taquarana,AL,municipio
teotonio vilela,AL,Teotônio Vilela,AL,municipio
teotônio vilela,AL,Teotônio Vilela,AL,municipio
traipu,AL,Traipu,AL,municipio
uniao dos palmares,AL,União dos Palmares,AL,municipio
união dos palmares,AL,União dos Palmares,AL,municipio
vicosa,AL,Viçosa,AL,municipio
vila sao francisco,AL,Arapiraca,AL,manual_review
viçosa,AL,Viçosa,AL,municipio
alvaraes,AM,Alvarães,AM,municipio
amatura,AM,Amaturá,AM,municipio
amaturá,AM,Amaturá,AM,municipio
anama,AM,Anamã,AM,municipio
anori,AM,Anori,AM,municipio
apui,AM,Apuí,AM,municipio
apuí,AM,Apuí,AM,municipio
atalaia do norte,AM,Atalaia do Norte,AM,municipio
autazes,AM,Autazes,AM,municipio
barcelos,AM,Barcelos,AM,municipio
benjamin constant,AM,Benjamin Constant,AM,municipio
boa vista do ramos,AM,Boa Vista do Ramos,AM,municipio
boca do acre,AM,Boca do Acre,AM,municipio
borba,AM,Borba,AM,municipio
caapiranga,AM,Caapiranga,AM,municipio
canutama,AM,Canutama,AM,municipio
carauari,AM,Carauari,AM,municipio
careiro,AM,Careiro,AM,municipio
careiro da varzea,AM,Careiro da Várzea,AM,municipio
coari,AM,Coari,AM,municipio
codajas,AM,Codajás,AM,municipio
codajás,AM,Codajás,AM,municipio
eirunepe,AM,Eirunepé,AM,municipio
eirunepé,AM,Eirunepé,AM,municipio
envira,AM,Envira,AM,municipio
fonte boa,AM,Fonte Boa,AM,municipio
freguesia do andira,AM,Barreirinha,AM,distrito
guajara,AM,Guajará,AM,municipio
guajará,AM,Guajará,AM,municipio
humaita,AM,Humaitá,AM,municipio
humaitá,AM,Humaitá,AM,municipio
iauarete,AM,São Gabriel da Cachoeira,AM,viacep
ipixuna,AM,Ipixuna,AM,municipio
iranduba,AM,Iranduba,AM,municipio
itacoatiara,AM,Itacoatiara,AM,municipio
itamarati,AM,Itamarati,AM,municipio
itapiranga,AM,Itapiranga,AM,municipio
japura,AM,Japurá,AM,municipio
